Name,Category,Subcategory,Price,PreviousPrice,Discount
"Trousse De Toilettes","accessoires","petite-maroquennerie",1800,,
"Boots Cuir","chaussures","boots",4000,,
"Boots Daim","chaussures","boots",4000,,
"Chic Modernes Boucle","chaussures","boots",4050,4500,10
"Chic Urbain Cuir Bottines","chaussures","boots",3800,,
"Explorer ÉLite Boots","chaussures","boots",4800,,
"Hugo éLéGance Souple CrêPier","chaussures","boots",2960,3700,20
"Hugo éLéGance Souple Cuir","chaussures","boots",4100,,
"Hugo éLéGance Souple Daim","chaussures","boots",3870,4300,10
"Montagne Luxe Bottine","chaussures","boots",5500,,
"ÉMinence Unique Boots","chaussures","boots",4420,5200,15
"Aby","chaussures","derbies",3700,,
"Canet","chaussures","derbies",3700,,
"Chad","chaussures","derbies",3700,,
"Cuir","chaussures","derbies",3700,,
"Daim","chaussures","derbies",3700,,
"Diken","chaussures","derbies",3700,,
"Ley","chaussures","derbies",3700,,
"Pablo","chaussures","derbies",3700,,
"Robin","chaussures","derbies",3700,,
"Sunny","chaussures","derbies",3700,,
"Brogue","chaussures","derbies",3700,,
"Cuir Veau","chaussures","derbies",3700,,
"L'Unique","chaussures","derbies",3700,,
"Rome","chaussures","derbies",3700,,
"Turin","chaussures","derbies",3700,,
"Vienne","chaussures","derbies",3700,,
"Agafay Walk","chaussures","mocassins",3500,,
"Classico Mocassin","chaussures","mocassins",3500,,
"Gomme Mocassin Cuir","chaussures","mocassins",3500,,
"Gomme Mocassin Daim","chaussures","mocassins",3500,,
"L'Unique Mocassin Cuir","chaussures","mocassins",3500,,
"L'Unique Mocassin Daim","chaussures","mocassins",3500,,
"George Washington","chaussures","mocassins",3500,,
"Carshoe","chaussures","mocassins",3500,,
"Day","chaussures","mocassins",3500,,
"Pampillou","chaussures","mocassins",3500,,
"Scal","chaussures","mocassins",3500,,
"Scal Cuir","chaussures","mocassins",3500,,
"Unique Cuir","chaussures","mocassins",3500,,
"à Gland","chaussures","mocassins",3500,,
"Penny Loafer","chaussures","mocassins",3500,,
"Cerfy Sneaker","chaussures","sneaker",0,,
"Dam Sneaker","chaussures","sneaker",0,,
"Barcelone","chaussures","sneaker",0,,15
"Cy","chaussures","sneaker",0,,14
"DDBO","chaussures","sneaker",0,,
"Daim Latex","chaussures","sneaker",0,,
"Eva","chaussures","sneaker",0,,
"Flexy Walk","chaussures","sneaker",0,,21
"Jhonny","chaussures","sneaker",0,,
"Nubuck","chaussures","sneaker",0,,22
"Rome","chaussures","sneaker",0,,13
"Street","chaussures","sneaker",0,,
"Veau","chaussures","sneaker",0,,
"Stitch","chaussures","sneaker",0,,
"Triple Stitch","chaussures","sneaker",0,,
"Snow Sneaker","chaussures","sneaker",0,,
"Suede Sneaker","chaussures","sneaker",0,,
